Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1995,3.49,2.38,2.21,1.97,3.2,2.13,4.76,1.17,4.11,8.2,5.18,2.19,40.99
1996,6.88,2.29,4.02,5.73,3.42,4.81,7.93,2.64,5.89,7.52,3.36,8.04,62.53
1997,3.41,1.82,4.23,3.81,3.42,2.51,5.97,4.59,3.05,2.12,4.12,3.99,43.04
1998,4.01,4.53,4.27,5.63,6.58,6.22,1.84,2.95,2.37,3.12,1.53,1.02,44.07
1999,7.22,2.78,5.25,2.4,3.34,1.15,0.89,4.78,11.21,3.13,2.75,2.72,47.62
2000,3.11,2.3,3.69,3.69,4.63,5.03,6.06,5.15,4.19,1.02,3.11,4.6,46.58
2001,2.72,2.58,5.62,1.95,3.84,5.77,2.97,3.13,4.2,0.72,1.16,2.44,37.1
2002,1.91,0.85,3.76,4.12,5.15,5.27,1.54,3.93,4.47,6.81,4.69,4.57,47.07
2003,2.77,4.25,4.36,2.59,3.98,9.29,3.76,5.93,7.89,5.84,4.48,6.12,61.26
2004,2.19,2.42,2.91,4.94,4.64,3.19,8.47,4.97,8.67,1.74,4.38,3.97,52.49
2005,4.99,2.54,4.32,4.88,1.75,3.58,3.94,1.92,1.6,14.18,4.21,3.6,51.51
2006,5.43,1.98,0.88,3.96,3.52,8.99,4.63,4.39,5.09,6.64,5.54,2.32,53.37
2007,3.2,1.77,4.33,9.43,1.62,4.5,5.94,5.82,1.1,6.36,3.14,5.54,52.75
2008,1.89,6.33,5.38,2.7,4.25,3.38,4.24,2.57,6.98,3.76,2.83,6.61,50.92
2009,2.51,0.73,1.8,3.11,4.78,7.63,5.74,6.82,2.48,5.41,1.49,6.49,48.99
2010,2.6,4.14,8.84,2.93,3.41,2.68,4.06,3.25,3.36,5.97,2.44,3.79,47.47
2011,3.24,3.35,6.91,6.62,5.28,4.68,3.51,15.66,10.1,4.66,3.93,4.55,72.49
2012,3.03,1.07,1.33,2.87,5.15,3.54,3.89,3.89,4.91,4.99,1.12,5.42,41.21
2013,3.03,2.35,2.58,2.23,4.85,8.53,4.84,4.77,2.23,1.01,3.22,4.21,43.85
2014,3.13,4.76,3.32,4.65,5.19,4.34,5.53,2.33,1.36,4.13,3.71,4.07,46.52
2015,3.8,1.87,3.89,2.39,1.45,7.18,3.16,2.63,4.03,3.8,1.95,4.5,40.65
2016,3.22,4.18,1.19,2.05,3.77,2.44,6.47,2.86,2,2.4,3.41,3.33,37.32
2017,3.64,2.01,3.83,3.9,5.53,3.51,5.95,4.77,2.15,5.32,1.23,1.52,43.36
2018,3.07,5.35,3.84,4.76,4.93,3.03,6.6,8.14,7.37,3.93,8.64,5.86,65.52
2019,4.92,3.07,3.68,4.59,8.69,5.18,7.19,3.92,1.01,6.71,2.49,4.9,56.35
2020,2.04,2.45,3.22,3.95,2.86,2.59,5.62,5.9,4.03,4.47,3.38,5.34,45.85
2021,1.63,4.11,3.19,2.04,4.67,2.96,7.52,7.29,9.31,6.01,1.24,1.47,51.44
2022,2.89,3,2.43,6.11,5.78,3.54,1.82,2.25,3.57,5.85,2.74,4.9,44.88
2023,4.44,1.29,2.65,5.38,1.97,4.88,7.76,5.12,7.6,2.84,2.95,8.51,55.39
2024,6.4,1.83,6.92,4.52,3.97,2.08,3.76,7.98,0.89,0.03,2.89,M,M
