Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1915,6.34,5.19,1.18,2.45,4.02,3.56,4.61,7.7,1.27,3.26,1.27,4.55,45.4
1916,1.65,3.88,3.85,2.78,3.22,3.61,5.94,1.42,2.26,1.27,1.85,5.21,36.94
1917,3.13,2.03,5.64,2.64,3.46,3.88,5.56,2.88,3.78,7.5,0.41,2.66,43.57
1918,4.57,1.65,2.52,3.88,5.39,3.06,4.14,2.23,3.81,1.23,1.7,4.06,38.24
1919,3.76,3.27,4.78,3.39,4.9,2.99,8.95,7.4,2.01,3.01,3.37,3.34,51.17
1920,2.65,4.2,3.36,4.26,2.68,7.71,3.25,6.44,2.61,1.76,4.36,4.78,48.06
1921,2.32,3.56,2.86,3.63,3.89,2.64,3.93,5.11,2.1,0.77,3.69,2.34,36.84
1922,3.29,3.1,4.34,2.31,2.79,5.35,5.11,4.81,1.66,1.34,0.75,4.07,38.92
1923,5.08,2.92,4.82,4.2,1.3,1.56,4.48,2.87,3.95,3.54,2.24,4.35,41.31
1924,4.47,4.49,3.51,5.95,5.15,5.13,2.61,4.43,5.12,0.17,2.14,2.86,46.03
1925,4.28,1.9,2.78,2.81,2.22,2.07,7.87,2.03,2.4,4.49,3,2.28,38.13
1926,2.86,3.83,2.25,2.23,2.7,2.73,6.49,6.58,3.69,3.52,3.68,3.6,44.16
1927,2.1,3.43,1.53,2.62,2.57,2.83,5.01,7.41,2.62,6.81,2.91,4.59,44.43
1928,2.2,3.73,2.71,5.66,2.42,6.11,5.29,5.98,5.29,1.3,1.93,1.79,44.41
1929,3.29,4.18,2.97,6.17,2.72,3.3,1.38,2.54,4.73,4.15,2.73,2.82,40.98
1930,3.24,3.13,2.36,1.84,2.68,4.62,3.87,2.78,2.01,1.93,2.47,2.56,33.49
1931,2.08,1.69,4.51,2.5,3.07,4.32,3.4,6.54,1.66,2.76,0.85,2.24,35.62
1932,4.74,1.77,6.39,2.81,3.2,3.84,3.17,2.66,2.38,5.49,6.76,3.37,46.58
1933,2.76,3.36,4.61,4.5,4.95,2.9,4.21,10.89,4.12,1.5,1.33,3.36,48.49
1934,2.65,3.28,3.49,3.51,4.56,3.63,3.58,4.54,7.53,2.16,3,2.97,44.9
1935,4.6,3.08,2.62,2.87,2.37,4.8,3.32,3.37,7.72,4.72,5.46,2.09,47.02
1936,6.64,3.35,5.14,2.72,2.11,4.32,3.61,3.56,5.11,2.87,0.89,6.31,46.63
1937,6.73,2.32,2.84,4.82,3.09,4.38,2.22,6.22,1.95,5.74,4.42,1.23,45.96
1938,3.12,2.34,1.93,2.2,3.43,7.79,8.85,3.28,9.6,2.61,3.42,2.48,51.05
1939,4.36,5.79,5.23,5.2,1.05,3.56,2.4,8.67,1.18,4.45,1.59,1.23,44.71
1940,1.61,3.05,4.44,5.39,6.04,2.61,2.35,6.62,4.37,2.25,4.66,2.72,46.11
1941,3.66,2.39,2.94,2.49,1.74,5.24,6.43,2.99,0.19,1.7,2.6,3.62,35.99
1942,2.92,2.6,5.7,1.3,1.9,2.62,6.72,6.99,3.16,3.68,3.62,4.36,45.57
1943,2.84,2.02,3.27,3.2,4.82,3.36,3.7,1.15,1.83,6.89,2.73,1.67,37.48
1944,3.74,2.11,5.89,5.42,1.54,3.88,1.13,3.23,7.61,2.77,6.02,2.83,46.17
1945,2.6,3.15,2.14,3,3.7,3.76,8.11,4.37,3.55,2.35,5.19,5.54,47.46
1946,1.91,2.14,3.34,1.61,6.01,5.19,5.52,4.27,2.84,1.37,1.53,2.52,38.25
1947,3.92,1.75,2.26,3.53,6.81,3.26,3.68,3.67,2.19,1.97,5.59,2.39,41.02
1948,5.38,2.68,3.56,3.62,8.71,4.73,4,6.68,1.19,2.33,5.07,6.08,54.03
1949,5.77,4.1,2.96,3.11,4.41,0.31,3.15,4.25,3.77,2.92,1.77,2.53,39.05
1950,2.09,3.37,4.23,1.94,3.58,2.52,4.21,4.51,4.39,2.06,4.8,3.01,40.71
1951,2.97,3.81,4.56,2.65,4.02,3.6,3.08,2.65,1.62,4.06,6.18,5.67,44.87
1952,5.27,2.11,5.55,6.37,5.46,2.76,4.29,7.56,2.91,0.85,4.7,4.17,52
1953,4.87,2.87,6.58,5.06,5.97,3.24,3.77,3.87,1.16,3.78,3.24,3.94,48.35
1954,2.05,1.62,3.65,3.62,3.6,1.05,1.7,6.27,4.97,2.08,4.61,3.59,38.81
1955,0.54,2.81,4.43,2.53,1.35,4.6,1.47,10.03,2.34,5.57,1.69,0.38,37.74
1956,2.64,4.72,4.95,2.96,2.51,4.08,5.92,3.41,3.25,4.72,3.89,3.94,46.99
1957,1.85,2.8,3.15,3.99,0.96,2.55,1.26,1.97,3.27,2.43,4.12,6.02,34.37
1958,4.64,5.14,5.84,5.2,4.49,3.39,7.28,7.53,3.48,5.07,2.54,1.66,56.26
1959,2.17,1.86,3.96,2.75,1.99,3.42,8.31,4.69,1.79,3.87,4.35,3.79,42.95
1960,3.15,4.47,2.33,2.73,3.63,1.7,7.15,4.03,7.91,2.49,2.14,3.13,44.86
1961,3.29,3.63,5.64,4.66,3.5,3.44,5.6,3.76,2.88,3.2,2.28,3.4,45.28
1962,2.99,3.81,3.98,3.89,1.7,4.39,2.94,5.62,3.51,1.89,5.04,2.76,42.52
1963,2.42,2.36,4.6,0.94,2.3,2.56,2.33,3.41,4.64,0.24,6.57,2.07,34.44
1964,4.51,3.74,2.1,6.04,0.87,1.66,4.83,1.05,3.99,2.29,1.76,4.52,37.36
1965,3.2,2.42,3.55,2.4,1.71,1.84,3.7,2.99,2.19,1.56,1.12,1.56,28.24
1966,3.29,4.18,1.35,3.04,3.83,1.22,2.5,2.07,7.82,5.01,2.18,4.03,40.52
1967,1.27,2.64,4.74,2.83,3.81,2.34,5.92,9.61,2.14,2.19,1.82,5.74,45.05
1968,2.74,1.13,5.18,1.76,5.71,5.07,2.41,2.72,1.17,2.81,4.86,3.06,38.62
1969,2.2,2.69,2.96,2.8,2.39,3.67,10.01,3.17,3.84,1.65,2.96,7.83,46.17
1970,1.07,2.78,3.96,5.9,2.34,4.53,3.66,3.03,1.23,3.32,5.11,2.99,39.92
1971,2.5,5.57,2.79,2.61,4.16,1.22,3.68,10.39,5.72,4.92,5.15,1.93,50.64
1972,2.83,5.12,3.25,4.01,4.88,7.18,3.85,1.61,2.24,5.6,8.67,5.91,55.15
1973,4.01,3.61,3.6,6.34,4.57,5.53,2.91,2.48,3.29,3.49,1.2,6.72,47.75
1974,3.55,2.2,5.02,2.84,3.41,3.37,2.21,6.04,4.68,2.06,1.33,5.1,41.81
1975,5.22,3.09,4.31,3.5,4.55,6.04,8.07,3.36,7.51,3.55,3.45,2.75,55.4
1976,5.17,2.32,1.94,1.75,3.43,2,3.56,4.71,2.1,6.18,0.54,2.43,36.13
1977,2.6,1.82,3.82,3.31,1.14,3.61,2.56,5.88,3.97,3.97,7.66,6.09,46.43
1978,7.33,1.27,4.47,1.87,6.97,2.63,5.29,7.1,1.88,1.58,2.45,5.07,47.91
1979,8.54,5.8,3.6,3.67,5.39,4.07,4.06,6.11,5.58,3.76,3.3,1.94,55.82
1980,2.54,0.96,6.83,5.72,2.52,3.5,3.75,2.18,2.13,4.04,3.07,0.86,38.1
1981,0.51,3.82,1.58,4.25,4.11,4.98,3.3,3.27,3.24,3.38,1.52,4.2,38.16
1982,4.33,2.62,2.42,5.39,3.19,4.81,3.56,2.49,2.08,1.87,3.66,2.33,38.75
1983,2.94,2.86,7.5,8.19,5.66,3.92,1.53,2.96,3.09,4.18,6.46,6.54,55.83
1984,2.1,4.21,6.8,4.99,7.39,3.47,6.1,2.27,2.4,2.55,2.28,2.3,46.86
1985,1.54,2.46,1.88,0.93,4.98,3.14,4.58,4.2,5.2,1.74,5.45,1.4,37.5
1986,3.98,3.31,1.79,4.76,0.98,2.14,5.33,3.93,2.51,2.86,6.07,6.16,43.82
1987,5.55,1.59,2.95,4.94,2.99,3.35,6.07,3.57,3.59,3.65,2.85,2.32,43.42
1988,2.99,4.06,2.4,2.52,4.24,1.14,5.27,3.31,2.63,2.67,5.96,0.86,38.05
1989,2.34,3.38,4.33,4.09,7.49,6.02,7.91,4.8,6.51,4.5,2.63,0.91,54.91
1990,4.17,1.72,2.74,3.74,7,2.64,3.4,7.96,2.2,3.36,1.67,4.57,45.17
1991,5,1.18,5.38,3.72,1.89,2.78,6.59,4.94,3.81,1.95,1.54,4.21,42.99
1992,1.5,1.98,3.53,1.46,3.16,3.82,4.6,5.07,4.23,1.4,4.13,5.13,40.01
1993,2.47,2.83,7.21,4.11,1.58,2.45,3.07,4.35,5.12,3.87,2.43,4.74,44.23
1994,5.37,3.78,7.85,2.65,3.51,2.29,5.82,6,2.86,0.71,3.28,2.32,46.44
1995,3.02,2.37,1.76,1.78,4.03,1.99,4.22,2.03,4.29,6.09,4.98,2.42,38.98
1996,5.06,2.24,4.54,4.56,3.82,5.36,6.77,4.04,5.42,5.63,2.14,7.82,57.4
1997,3.09,2.78,4.96,3.89,3.07,1.89,4.78,5.97,1.79,2.46,4.13,3.83,42.64
1998,4.85,4.36,5.56,4.05,5.52,4.34,2.18,2.37,1.75,2.31,1.23,1.49,40.01
1999,7.17,2.94,4.77,2.89,2.88,2.02,1.51,5.78,8.63,3.43,2.19,3.14,47.35
2000,3.08,2.06,5.2,3.09,3.34,3.97,5.42,5.45,5.88,0.65,3.17,3.07,44.38
2001,3.19,2.65,6.15,1.75,2.88,4.93,3.11,3.73,2.16,1.06,0.91,2.09,34.61
2002,2.4,0.67,4.47,3.58,3.74,4.78,1.75,3.6,3.64,6.68,5.29,4.51,45.11
2003,2.38,4.97,3.9,2.98,3.69,7.93,3.92,4.32,5.39,4.48,4.18,5.57,53.71
2004,1.84,2.6,3.56,5.54,3.2,3.04,7.13,4.7,4.59,2.62,4.78,3.19,46.79
2005,3.97,2.34,3.81,4.31,2.95,3.51,5.09,2.3,0.94,10.67,3.72,3.58,47.19
2006,4.98,1.61,0.8,3.46,2.71,7.34,5.61,3.44,6.25,6.14,6.1,2.07,50.51
2007,3.86,2.06,3.99,8.05,1.59,3.77,3.56,3.64,0.87,4.99,1.85,5.26,43.49
2008,2.18,4.53,3.33,2.65,4.78,2.94,3.74,2.22,5.6,2.32,4.35,6.25,44.89
2009,3.2,0.62,2.09,5.08,4.26,6.25,4.57,7.86,4.86,5.76,2.56,8.49,55.6
2010,2.64,4.85,8.48,2.29,3.32,1.98,4.17,1.96,3.1,5.06,2.01,2.96,42.82
2011,3.39,2.87,4.76,5.17,2.86,2.66,4.56,15.85,5.39,3.89,3.78,4.06,59.24
2012,2.67,1.47,1.83,2.87,3.74,4.68,3.19,5.04,4.17,5.7,1.42,5.57,42.35
2013,3.01,3.14,3.03,2.81,3.19,10.16,5.63,4.65,2.1,2.6,2.69,5.05,48.06
2014,3.11,5.06,4.36,4.26,4.53,2.72,4.99,4.99,3.17,3.3,4.72,4.92,50.13
2015,4.8,2.35,4.96,2.84,1.05,8.75,4.01,1.98,3.4,4.17,2.46,5.05,45.82
2016,3.13,4,2.24,2.37,5.44,2.39,7.34,1.59,4.17,2.98,1.81,3.23,40.69
2017,3.7,1.4,4.16,3.78,7.05,3.24,6.44,5.47,2.26,4.75,1.96,1.44,45.65
2018,2.49,6.58,5.09,3.8,6.24,3.52,5.54,4.02,7.78,4.73,8.65,5.94,64.38
2019,4.22,3.37,3.93,3.56,5.6,5.2,5.6,3.59,1.41,5.13,1.59,5.54,48.74
2020,2.45,2.96,3.88,3.97,2.26,3.37,7.38,6.26,4.61,5.26,4.52,5.33,52.25
2021,1.97,5,4.2,2.53,3.34,3.6,7.79,6.1,4.59,4.54,0.86,1.13,45.65
2022,3.59,2.54,2.74,4.42,5.01,3.33,2.18,2.43,2.81,6.77,2.97,4.7,43.49
2023,3.21,1.65,2.49,5.69,1.96,3.41,5.52,3.57,7.67,1.42,2.56,8.3,47.45
2024,6.03,1.69,8.22,3.92,2.53,2.74,3.9,5.01,0.68,0.01,2.51,M,M
